"","DIA_STM","AREA","AVG_DENSITY","TD_AVG","RTP_COUNT","HYP_DIA","TAP_DIA","environment","plantmass"
"287",12.7737,2532.85,1.44497,0.303211,131,1.355,0.786245,"ws",27.95
"288",10.9817,4553.69,0.761036,0.345861,224,1.46511,0.84703,"ww",26.87
"289",11.4146,3162.39,0.607245,0.329273,184,1.59977,0.728914,"ww",29.76
"290",10.012,969.911,0.784243,0.335052,43,1.21752,0.600934,"ww",11.12
"291",11.6619,4313.05,0.375628,0.341001,221,1.71797,0.793369,"ww",30.46
"292",10.9666,2549.97,0.822807,0.379443,87,1.21539,0.873818,"ww",25.36
"293",10.3923,1619.11,0.507274,0.327471,125,1.31523,0.572054,"ww",16.6
"294",10.5627,2366.74,1.8165,0.333223,91,1.02834,0.800916,"ww",20.01
"295",13.4164,6434.31,0.80045,0.340972,300,1.52184,0.833712,"ww",43.53
"296",10.2131,2338.58,1.92606,0.33316,126,1.4311,1.01345,"ww",24.45
"297",11.0297,1833.96,0.658957,0.335991,66,1.4042,0.819893,"ww",30.47
"298",12.3818,3106.73,0.440378,0.33868,192,1.45713,0.943862,"ww",40.73
"299",11.3821,4106.19,0.468315,0.345781,206,1.40244,0.875106,"ww",21.23
"300",10.016,2293.23,1.88407,0.333645,135,1.30065,0.73901,"ww",19.55
"301",10.5864,2924.4,0.696865,0.339332,126,1.54883,0.832478,"ww",24.03
"302",11.3137,3152.98,2.96075,0.339645,120,1.40119,1.02782,"ww",25.96
"303",12.0092,2286,0.506801,0.342733,86,1.59487,0.882106,"ww",25.77
"304",11.3247,2082.03,0.906698,0.332674,94,1.47219,0.617756,"ww",32.77
"305",11.0771,2953.72,0.750197,0.330328,182,0.825643,0.941614,"ww",17.33
"306",6.07274,3388.44,0.728399,0.328533,250,1.29157,0.839181,"ww",25.79
"307",11.2044,3539.52,0.829467,0.345063,174,1.66791,0.880594,"ww",21.84
"308",11.4467,3007.61,0.965955,0.345496,81,1.28713,0.825439,"ww",28.67
"309",11.6543,1721.97,1.53173,0.319719,239,0.92628,0.673395,"ww",32.52
"310",11.9063,2640.9,0.439983,0.301611,273,1.45556,0.832238,"ww",25.62
"311",11.0624,2285.96,1.11819,0.344253,89,1.51333,0.92665,"ww",25.41
"312",12.5369,3876.47,0.450106,0.330622,138,1.31579,1.08884,"ww",33.33
"313",11.1355,2182.78,0.686179,0.322268,285,1.30311,0.796207,"ww",23.56
"314",10.9817,4172.49,0.934199,0.32973,230,1.39869,0.788653,"ww",15.58
"315",10.799,2744.14,1.12694,0.344631,192,1.17396,0.696725,"ww",14.7
"316",11.2468,3685.73,0.519053,0.325702,278,0.916129,0.789015,"ww",29.72
"317",16.1245,4907.25,4.30356,0.341827,214,1.08403,0.961776,"ww",31.04
"318",11.8346,3327.73,0.701021,0.336989,189,0.945679,0.828923,"ww",33.1
"319",10.7703,2212.3,0.672203,0.329872,101,1.55863,0.968204,"ww",26.26
"320",10.7446,2808.44,0.831535,0.326354,190,1.23201,0.726898,"ww",16.71
"321",6.38687,4116.44,0.505696,0.302574,308,1.04599,0.794422,"ww",37.43
