Image ID,Image name,Experiment Tag,circle ratio,x pixel,y pixel,xScale,yScale,computation time,Skeleton Vertices,DIA_STM,AREA,AVG_DENSITY,TD_MED,TD_AVG,RTP_COUNT,ADVT_COUNT,BASAL_COUNT,HYP_DIA,TAP_DIA
469866,DSC_0982.JPG,41_55_7,0.010050251,197,199,0.12893401,0.127638191,143,6909,12.3288,3609.56,17.0812,0.362848,0.38994,17,3,6,2.17907,2.0751
469850,DSC_0998.JPG,34_55_9,0.010050251,197,199,0.12893401,0.127638191,335,27279,10.2763,2977.53,1.19288,0.305117,0.300718,195,16,21,1.30862,0.635116
469846,DSC_1002.JPG,31_55_14,0.010050251,197,199,0.12893401,0.127638191,363,39354,10.7703,4061.2,1.59593,0.305117,0.306297,168,8,9,1.38801,0.696221
469843,DSC_1005.JPG,34_55_15,0.010050251,197,199,0.12893401,0.127638191,407,33789,10.583,3569.4,0.559896,0.305117,0.304853,230,11,18,1.45156,0.701684
469601,DSC_1010.JPG,34_55_12,0.010050251,197,199,0.12893401,0.127638191,201,13518,9.42414,1291.9,1.26655,0.305117,0.307442,90,12,7,1.15127,0.730239
469597,DSC_1014.JPG,35_55_15,0.010050251,197,199,0.12893401,0.127638191,173,6837,9.79796,836.866,1.31281,0.305117,0.309831,52,6,15,1.15702,0.663181
469554,DSC_1070.JPG,32_55_7,0.010050251,197,199,0.12893401,0.127638191,211,12924,9.8318,1661.36,0.980272,0.305117,0.332828,95,3,15,1.15628,0.780197
470278,DSC_0672.JPG,26_55_12,0.005050505,197,198,0.12893401,0.128282828,249,14118,10.9696,1776.8,0.958318,0.305884,0.295411,93,10,16,1.2009,0.643698
470272,DSC_0691.JPG,59_40_2,0.005050505,197,198,0.12893401,0.128282828,251,18480,10.532,2041.96,1.07035,0.305884,0.321007,134,9,28,1.05114,0.656135
470268,DSC_0696.JPG,34_55_16,0.005050505,197,198,0.12893401,0.128282828,206,15609,10.141,1970.43,1.03419,0.305884,0.317775,69,3,13,1.18617,0.792839
470263,DSC_0705.JPG,37_55_15,0.005050505,197,198,0.12893401,0.128282828,375,37001,11.2073,4585.09,0.58652,0.305884,0.31343,214,9,24,1.39845,0.902838
470262,DSC_0706.JPG,58_40_15,0.005050505,197,198,0.12893401,0.128282828,316,24234,11.5829,3164.27,0.63701,0.305884,0.314595,123,5,11,1.26009,0.539353
470254,DSC_0715.JPG,37_55_2,0.005050505,197,198,0.12893401,0.128282828,382,32795,11.1355,3674.8,0.994129,0.305884,0.313098,195,11,20,1.37435,0.698731
470250,DSC_0719.JPG,37_55_5,0.005050505,197,198,0.12893401,0.128282828,393,33080,11.3821,3445.22,0.971675,0.305884,0.29981,250,12,21,1.29037,0.673399
470245,DSC_0726.JPG,52_40_15,0.005050505,197,198,0.12893401,0.128282828,268,21278,10.1256,2289.14,0.874881,0.305884,0.304493,136,7,15,1.16717,0.586728
