plot ID,dry weight 1 shoot plus bag
35.51.14,18.4
30.51.11,18.39
26.51.10,13.97
24.51.15,35.66
28.51.12,20.56
42.51.10,16.28
28.51.2,16.55
19.51.7,19.78
31.51.1,12.46
20.51.6,21.71
44.24.11,24.41
78.50.7,19.86
23.51.16,32.79
36.51.4,24.24
28.51.4,15.27
20.51.16,17.68
27.51.6,18.69
31.51.9,15.66
30.34.2,16.29
16.34.10,27.05
44.51.10,20.55
23.51.7,18.73
43.51.13,16.17
75.50.12,21.5
26.51.11,17.2
28.51.13,13.06
85.50.15,20.79
36.51.10,21.77
43.51.15,23.54
29.51.5,18.16
81.50.2,24.41
36.51.12,21.45
43.51.2,24.53
41.51.11,16.35
31.51.8,16.74
30.51.4,20.22
44.51.9,21.48
87.50.1,33.16
30.51.1,20.72
44.51.6,20.7
41.51.14,12.04
40.51.9,24.66
36.51.14,17.34
40.51.7,24.54
36.51.11,18.23
23.51.2,19.9
20.51.13,18.23
29.34.12,25.87
19.51.12,23
25.51.11,19.62
79.50.10,15.44
18.51.4,23.34
81.50.4,18.36
30.51.12,16.56
27.51.13,21
82.50.1,24.11
31.51.12,20.07
36.51.8,18.94
31.51.16,16.6
27.34.9,21.17
41.51.15,15.92
25.51.12,16.65
28.55.4,14.69
36.55.12,13.65
50.40.3,22.39
19.34.12,24.56
65.54.16,22.1
118.48.5,18.41
35.51.3,28.09
79.54.14,18.19
19.51.10,21.62
35.55.16,13.78
78.50.6,18.12
76.54.13,15.71
75.50.10,23.67
19.34.3,27.63
28.34.9,28.67
40.55.7,19.37
35.34.13,29.2
28.34.14,13.56
24.55.10,14.1
54.40.2,21.26
65.54.12,20.51
50.40.2,19.49
30.51:5,19.57
32.51.5,13.33
25.51.3,13.74
36.51.5,24.4
36.51.7,18.05
116.48.11,17.57
111.52.11,19.87
17.34.10,20.46
38.24.12,28.67
54.40.12,17.31
109.48.6,27.73
79.54.6,25.59
66.54.14,26.61
39.55.6,16.08
66.54.8,19.06
