"","Experiment.Tag","Image.ID","Image.name","circle.ratio","x.pixel","y.pixel","xScale","yScale","computation.time","Skeleton.Vertices","DIA_STM","AREA","AVG_DENSITY","TD_MED","TD_AVG","RTP_COUNT","ADVT_COUNT","BASAL_COUNT","HYP_DIA","TAP_DIA","environment","plantmass"
"70","31_55_15",469593,"DSC_1018.JPG",0.005025126,198,199,0.128282828,0.127638191,226,13867,10.004,1475.57,0.816698,0.304343,0.295382,108,7,12,1.12206,0.561601,"ws","11.52"
"71","31_55_16",469600,"DSC_1011.JPG",0.005025126,198,199,0.128282828,0.127638191,207,14688,9.59166,1474.36,1.24936,0.304343,0.296077,77,12,12,1.14452,0.680354,"ws","11.42"
"72","31_55_2",469570,"DSC_1048.JPG",0.005050505,197,198,0.12893401,0.128282828,379,34188,10.4313,3230.96,0.816805,0.305884,0.301529,206,14,18,1.28859,0.641964,"ws","14.02"
"73","31_55_3",469559,"DSC_1060.JPG",0.005050505,197,198,0.12893401,0.128282828,316,26694,10,2501.64,1.93914,0.305884,0.296726,164,8,29,1.22898,0.666832,"ws","13.12"
"74","31_55_4",470031,"DSC_0816.JPG",0.029268293,199,205,0.127638191,0.123902439,222,16720,10,1754.23,0.83073,0.299134,0.288225,111,15,9,1.3096,0.611469,"ws","15.48"
"75","31_55_5",469575,"DSC_1042.JPG",0.005050505,197,198,0.12893401,0.128282828,256,24229,10.6697,2464.07,1.01393,0.305884,0.298508,151,10,29,1.18539,0.635407,"ws","13.48"
"76","31_55_6",469556,"DSC_1066.JPG",0.01,198,200,0.128282828,0.127,262,24113,10.1905,2644.8,1.64462,0.303584,0.313905,123,6,11,1.2134,0.844173,"ws","13.02"
"77","31_55_7",469845,"DSC_1003.JPG",0.005025126,198,199,0.128282828,0.127638191,312,18478,9.79796,1938.48,0.491636,0.304343,0.301302,138,7,9,1.20335,0.712102,"ws","13.83"
"78","31_55_8",469598,"DSC_1013.JPG",0.005050505,197,198,0.12893401,0.128282828,270,23555,10.532,2834.26,0.890211,0.305884,0.302915,156,9,18,1.3743,0.731543,"ws","15.86"
"79","31_55_9",469599,"DSC_1012.JPG",0.014851485,199,202,0.127638191,0.125742574,242,19751,10.0358,2078.05,0.652879,0.301322,0.306261,148,14,27,1.14356,0.680257,"ws","70.75"
"80","32_55_1",470274,"DSC_0678.JPG",0.01010101,196,198,0.129591837,0.128282828,350,22878,9.83601,2865.25,1.2372,0.306666,0.318837,171,10,25,1.30332,0.923455,"ws","14.73"
"82","32_55_13",469581,"DSC_1036.JPG",0,198,198,0.128282828,0.128282828,270,22411,10,2228.42,1.2089,0.30511,0.311058,171,6,18,1.19723,0.613399,"ws","12.92"
"83","32_55_16",470366,"DSC_0516.JPG",0.00462963,215,216,0.118139535,0.117592593,353,28903,10.004,2339.51,0.841821,0.280334,0.272962,234,5,41,1.20431,0.722357,"ws","14.07"
"84","32_55_2",469555,"DSC_1069.JPG",0.005025126,198,199,0.128282828,0.127638191,281,22009,11.1355,2934.02,0.478289,0.304343,0.306689,146,9,19,1.3463,0.665382,"ws","16.59"
"85","32_55_3",469585,"DSC_1032.JPG",0.01,198,200,0.128282828,0.127,185,13293,9.21156,1431.38,1.30394,0.303584,0.299251,82,15,14,1.07761,0.714427,"ws","10.92"
"86","32_55_4",469587,"DSC_1025.JPG",0,197,197,0.12893401,0.12893401,404,37822,10.9666,4536.93,1.34991,0.306658,0.316783,231,12,17,1.25922,0.757262,"ws","17.69"
"88","32_55_7",469554,"DSC_1070.JPG",0.010050251,197,199,0.12893401,0.127638191,211,12924,9.8318,1661.36,0.980272,0.305117,0.332828,95,3,15,1.15628,0.780197,"ws","13.18"
"89","32_55_8",469586,"DSC_1027.JPG",0,198,198,0.128282828,0.128282828,343,33273,9.18586,3351.82,1.4149,0.30511,0.307046,224,14,16,1.31146,0.780514,"ws","12.76"
"90","32_55_9",469578,"DSC_1039.JPG",0.005025126,198,199,0.128282828,0.127638191,291,29017,10.0358,2832.04,0.899529,0.304343,0.300511,197,13,25,1.25806,0.831387,"ws","13.58"
"91","33_55_1",470404,"DSC_0555.JPG",0.00462963,215,216,0.118139535,0.117592593,364,25580,11.4865,2173.62,0.852323,0.280334,0.276112,239,20,17,1.07604,0.711918,"ws","13.9"
"92","33_55_11",470420,"DSC_0572.JPG",0.004608295,216,217,0.117592593,0.117050691,280,20557,10.198,1878.14,3.30457,0.279039,0.278338,155,12,17,0.968514,0.639796,"ws","11.53"
"93","33_55_12",470318,"DSC_0466.JPG",0.009259259,214,216,0.118691589,0.117592593,165,4994,10.3923,687.73,0.993408,0.280991,0.304635,35,5,5,1.03376,1.23256,"ws","12.91"
"96","33_55_16",470350,"DSC_0499.JPG",0.004651163,214,215,0.118691589,0.118139535,442,34358,10.532,3047.2,0.7199,0.281641,0.279613,249,11,18,1.11682,0.60436,"ws","14.73"
"97","33_55_2",470321,"DSC_0470.JPG",0,214,214,0.118691589,0.118691589,503,42738,10.3744,3681.13,1.20514,0.282298,0.295642,299,15,22,1.16839,0.761091,"ws","14.8"
"98","33_55_4",470425,"DSC_0577.JPG",0.009174312,216,218,0.117592593,0.116513761,461,37101,10.5864,2828.48,1.26798,0.278401,0.271642,294,15,17,1.0061,0.725842,"ws","13.94"
"99","33_55_8",470174,"DSC_0446.JPG",0.009259259,214,216,0.118691589,0.117592593,269,26088,11.2748,2499.8,0.88786,0.280991,0.281083,134,17,19,1.07708,0.574939,"ws","14.1"
"100","34_55_1",470264,"DSC_0704.JPG",0.010050251,197,199,0.12893401,0.127638191,263,21010,10.2131,2537.41,1.3424,0.305117,0.334475,110,7,14,1.24589,0.798969,"ws","13.53"
"101","34_55_10",469874,"DSC_0974.JPG",0.005025126,198,199,0.128282828,0.127638191,241,15630,10.1867,1595.76,1.08138,0.304343,0.292608,111,8,19,1.22672,0.786114,"ws","15.55"
"102","34_55_11",469880,"DSC_0968.JPG",0.019900498,197,201,0.12893401,0.126368159,426,38792,11.0653,3749.84,1.18312,0.303607,0.291007,258,11,27,1.30065,0.706399,"ws","17"
"103","34_55_12",469601,"DSC_1010.JPG",0.010050251,197,199,0.12893401,0.127638191,201,13518,9.42414,1291.9,1.26655,0.305117,0.307442,90,12,7,1.15127,0.730239,"ws","12.81"
"104","34_55_13",469877,"DSC_0971.JPG",0.01980198,198,202,0.128282828,0.125742574,357,22899,9.13906,2469.18,1.41921,0.302089,0.299009,165,15,23,1.21402,0.696591,"ws","16.06"
"105","34_55_14",469854,"DSC_0994.JPG",0,197,197,0.12893401,0.12893401,230,23742,10.291,2110.43,1.163,0.306658,0.298284,129,11,22,1.25356,0.7006,"ws","11.37"
"106","34_55_15",469843,"DSC_1005.JPG",0.010050251,197,199,0.12893401,0.127638191,407,33789,10.583,3569.4,0.559896,0.305117,0.304853,230,11,18,1.45156,0.701684,"ws","74.15"
"107","34_55_16",470268,"DSC_0696.JPG",0.005050505,197,198,0.12893401,0.128282828,206,15609,10.141,1970.43,1.03419,0.305884,0.317775,69,3,13,1.18617,0.792839,"ws","72.59"
"109","34_55_3",470291,"DSC_0637.JPG",0.004651163,216,215,0.117592593,0.118139535,256,15494,11.0624,1739.97,1.60517,0.280334,0.277272,100,10,10,1.22746,0.7397,"ws","15.09"
"110","34_55_4",469565,"DSC_1053.JPG",0.005025126,198,199,0.128282828,0.127638191,275,19635,11.193,2383.66,1.14167,0.304343,0.304125,146,7,28,1.37271,0.743202,"ws","16.76"
"111","34_55_5",469978,"DSC_0870.JPG",0.024509804,199,204,0.127638191,0.124509804,293,23693,10.291,2407.37,1.04192,0.299856,0.295872,153,11,22,1.21117,0.680029,"ws","70.38"
"112","34_55_6",469584,"DSC_1033.JPG",0,198,198,0.128282828,0.128282828,188,8688,9.45742,1161.09,0.967933,0.30511,0.321051,76,6,17,1.13897,0.812467,"ws","12.48"
"113","34_55_7",469595,"DSC_1016.JPG",0.014925373,198,201,0.128282828,0.126368159,295,21780,10.198,2424.93,2.23611,0.302833,0.302807,173,12,28,1.16237,0.720299,"ws","13.55"
"114","34_55_8",469573,"DSC_1045.JPG",0.005025126,198,199,0.128282828,0.127638191,334,25747,10.3923,2353.16,0.962932,0.304343,0.29713,188,7,13,1.21398,0.637667,"ws","72.13"
"115","34_55_9",469850,"DSC_0998.JPG",0.010050251,197,199,0.12893401,0.127638191,335,27279,10.2763,2977.53,1.19288,0.305117,0.300718,195,16,21,1.30862,0.635116,"ws","16.03"
"116","35_55_1",470232,"DSC_0740.JPG",0.005025126,198,199,0.128282828,0.127638191,207,11133,10.5864,1746.49,1.35016,0.304343,0.304142,87,10,13,1.30433,0.810053,"ws","75.63"
"117","35_55_10",470296,"DSC_0620.JPG",0.009345794,216,214,0.117592593,0.118691589,304,18055,10.4242,1945.88,1.03234,0.280991,0.282706,121,8,18,1.13237,0.768621,"ws","71.73"
"118","35_55_11",469979,"DSC_0869.JPG",0.015,197,200,0.12893401,0.127,222,12041,9.76805,1371.05,1.06411,0.304359,0.301316,96,4,13,1.24485,0.596528,"ws","13.57"
"119","35_55_12",469892,"DSC_0956.JPG",0.01980198,198,202,0.128282828,0.125742574,372,25855,10.7703,2760,1.31355,0.302089,0.300794,217,17,15,1.13549,0.729158,"ws","14.18"
"120","35_55_13",469969,"DSC_0879.JPG",0.02,196,200,0.129591837,0.127,290,17969,10.4065,2276.72,1.14816,0.305141,0.325683,152,12,17,1.11439,0.643552,"ws","14.55"
"121","35_55_14",469847,"DSC_1001.JPG",0.005025126,198,199,0.128282828,0.127638191,288,28326,10.2579,3481.71,1.59197,0.304343,0.304402,165,12,24,1.2503,0.813351,"ws","16.93"
"123","35_55_2",470006,"DSC_0842.JPG",0.024390244,200,205,0.127,0.123902439,271,16911,9.45742,1830.73,0.781042,0.298375,0.293611,138,14,8,1.09695,0.710475,"ws","72.92"
"124","35_55_3",469564,"DSC_1054.JPG",0.005025126,198,199,0.128282828,0.127638191,200,8011,10.9054,1354.01,1.34756,0.255921,0.306275,48,7,6,1.30098,0.686603,"ws","16.49"
"125","35_55_4",469893,"DSC_0955.JPG",0.019900498,197,201,0.12893401,0.126368159,211,18154,11.2384,2377.19,1.47023,0.303607,0.308804,108,17,8,1.14729,0.657858,"ws","73.01"
"126","35_55_5",470033,"DSC_0813.JPG",0.024630542,198,203,0.128282828,0.125123153,178,8001,9.60974,1196.26,2.49539,0.301352,0.304592,57,10,8,1.02025,0.706576,"ws","14.18"
"127","35_55_6",470286,"DSC_0649.JPG",0,215,215,0.118139535,0.118139535,204,9606,10.4489,909.7,1.19742,0.280985,0.274379,81,7,13,1.2361,0.641275,"ws","12.11"
"128","35_55_7",470304,"DSC_0603.JPG",0.004651163,216,215,0.117592593,0.118139535,305,22629,11.0297,2368.31,0.971801,0.280334,0.28122,158,11,18,1.1353,0.727226,"ws","14.74"
"129","35_55_8",470300,"DSC_0609.JPG",0,217,217,0.117050691,0.117050691,247,15363,10.4907,1604.92,1.51749,0.278395,0.277919,98,18,15,0.882524,0.631037,"ws","69.96"
"130","36_55_1",469902,"DSC_0946.JPG",0.01980198,198,202,0.128282828,0.125742574,262,16429,9.55519,1843.83,1.50225,0.302089,0.293741,115,9,14,1.23972,0.546401,"ws","71.73"
"131","36_55_10",469922,"DSC_0926.JPG",0,197,197,0.12893401,0.12893401,290,24154,10.004,2504.7,0.907403,0.306658,0.304191,170,14,15,1.22069,0.796413,"ws","14.88"
"132","36_55_11",469937,"DSC_0911.JPG",0.005076142,196,197,0.129591837,0.12893401,282,22264,10.2467,2220.53,0.823033,0.307441,0.304533,171,12,19,1.20013,0.739075,"ws","13.33"
"133","36_55_12",469928,"DSC_0920.JPG",0,197,197,0.12893401,0.12893401,250,18442,10.9666,2045.1,1.80904,0.306658,0.307252,137,8,21,1.31164,0.751996,"ws","13.65"
"134","36_55_13",469983,"DSC_0865.JPG",0.029411765,198,204,0.128282828,0.124509804,221,13915,10.532,1652.45,1.53614,0.300623,0.30587,108,15,24,1.25535,0.602345,"ws","74.19"
"135","36_55_14",469963,"DSC_0885.JPG",0.005102041,195,196,0.13025641,0.129591837,365,26321,9.42414,2622.65,0.861028,0.309013,0.306332,204,4,34,1.11448,0.688185,"ws","13.21"
"136","36_55_15",469919,"DSC_0929.JPG",0.005025126,198,199,0.128282828,0.127638191,314,25910,10.3959,2580.23,0.991084,0.304343,0.307604,191,10,20,1.3128,0.7391,"ws","72.64"
"137","36_55_16",470026,"DSC_0822.JPG",0.029411765,198,204,0.128282828,0.124509804,305,19384,10.4803,2479.39,1.00929,0.300623,0.307683,158,6,25,1.20142,0.736352,"ws","17.06"
"138","36_55_2",469897,"DSC_0951.JPG",0.01980198,198,202,0.128282828,0.125742574,295,19136,10.3923,2282.48,1.08027,0.302089,0.302152,151,2,22,1.2451,0.922186,"ws","17.65"
"139","36_55_3",469905,"DSC_0943.JPG",0.024752475,197,202,0.12893401,0.125742574,220,18874,10.2018,2149.78,0.938937,0.302863,0.311268,128,12,30,1.21642,0.698802,"ws","16.15"
"140","36_55_4",469993,"DSC_0855.JPG",0.024390244,200,205,0.127,0.123902439,225,16486,11.0297,2042.56,1.08284,0.298375,0.306837,104,13,10,1.3423,1.03002,"ws","16.36"
"142","36_55_7",469913,"DSC_0935.JPG",0.014925373,198,201,0.128282828,0.126368159,433,34273,11.2044,3280.71,0.650716,0.302833,0.295953,252,6,23,1.21346,0.661095,"ws","74.09"
"143","36_55_8",469914,"DSC_0934.JPG",0.009950249,199,201,0.127638191,0.126368159,192,7969,9.75084,922.102,1.209,0.302066,0.290561,65,8,12,1.05215,0.480601,"ws","69.69"
"144","36_55_9",469925,"DSC_0923.JPG",0,198,198,0.128282828,0.128282828,273,18914,10.4242,2010.41,1.0979,0.30511,0.30689,126,8,24,1.19728,0.541544,"ws","71.48"
"145","37_55_10",470273,"DSC_0681.JPG",0.005025126,198,199,0.128282828,0.127638191,409,31778,10.6366,4450.13,1.11263,0.304343,0.3266,224,6,38,1.32476,0.734636,"ws","75.86"
"146","37_55_11",470356,"DSC_0505.JPG",0.004651163,214,215,0.118691589,0.118139535,314,21597,10.583,2378.72,1.54068,0.281641,0.289988,180,5,16,1.24644,0.732741,"ws","15.7"
"147","37_55_12",470028,"DSC_0820.JPG",0.029411765,198,204,0.128282828,0.124509804,283,20342,10.291,2006.64,0.724001,0.300623,0.295914,153,5,34,1.13881,0.646023,"ws","74.06"
"148","37_55_13",470210,"DSC_0767.JPG",0.005076142,198,197,0.128282828,0.12893401,291,22718,10.0634,2026.37,1.66762,0.305884,0.30157,176,15,15,0.987562,0.725095,"ws","11.69"
"149","37_55_15",470263,"DSC_0705.JPG",0.005050505,197,198,0.12893401,0.128282828,375,37001,11.2073,4585.09,0.58652,0.305884,0.31343,214,9,24,1.39845,0.902838,"ws","77.17"
"151","37_55_3",470270,"DSC_0693.JPG",0,197,197,0.12893401,0.12893401,352,33299,9.70303,3436.58,1.04537,0.306658,0.314704,206,15,17,1.16308,0.706947,"ws","72.11"
